step,w0,w1,w2,w3,w4,w5,w6
32,0.08619143,0.26644063,0.15629676,0.2815657,0.14430845,0.06519698,0.0
33,0.21716017,0.25481212,0.25507578,0.09139995,0.07456815,0.10698387,0.0
34,0.14737804,0.20530789,0.10555135,0.24354516,0.17001629,0.12820128,0.0
35,0.20120388,0.16369534,0.20484962,0.09721096,0.06715225,0.26588798,0.0
36,0.19723772,0.08140204,0.33210665,0.06243555,0.12224395,0.2045741,0.0
37,0.23375864,0.1462707,0.20713158,0.07523562,0.26469097,0.07291248,0.0
38,0.24569005,0.1418032,0.20263334,0.07282507,0.06045981,0.27658853,0.0
39,0.25473893,0.2675794,0.05771357,0.09024644,0.06020514,0.26951647,0.0
40,0.23006895,0.14858036,0.09112534,0.29004174,0.08632672,0.1538569,0.0
41,0.22105572,0.11645511,0.07855215,0.16663873,0.1863407,0.23095754,0.0
42,0.17868605,0.15473111,0.26209232,0.26141858,0.07138988,0.0716821,0.0
43,0.24167465,0.18702544,0.08197429,0.16555917,0.0959091,0.22785734,0.0
44,0.09500801,0.05437302,0.20729159,0.3254187,0.22785246,0.09005623,0.0
45,0.1534028,0.1779897,0.10189851,0.08904389,0.31974638,0.1579187,0.0
46,0.07107466,0.16347605,0.40661645,0.18348925,0.07518308,0.10016052,0.0
47,0.07943869,0.08518144,0.1592185,0.19783667,0.25059828,0.22772637,0.0
48,0.14080319,0.07043094,0.05846896,0.23173672,0.11517105,0.38338906,0.0
49,0.08872735,0.08260523,0.29576376,0.28226146,0.12457015,0.12607202,0.0
50,0.12089487,0.11616682,0.14354445,0.26005414,0.17462556,0.18471417,0.0
51,0.05776358,0.21724963,0.0701153,0.23351903,0.228144,0.1932085,0.0
52,0.21442203,0.25149655,0.15837681,0.22532079,0.06597806,0.08440579,0.0
53,0.3656455,0.05999957,0.0724354,0.19627967,0.13405468,0.17158516,0.0
54,0.32779124,0.2702433,0.15824685,0.0701815,0.11937591,0.05416124,0.0
55,0.26101023,0.11004632,0.08447353,0.11614661,0.33145216,0.09687112,0.0
56,0.28462973,0.12242637,0.1642084,0.07265738,0.1607633,0.19531487,0.0
57,0.1433857,0.3804318,0.13941593,0.07389793,0.0756573,0.18721136,0.0
58,0.21066895,0.05454402,0.20746478,0.16919528,0.28979158,0.06833532,0.0
59,0.2978875,0.13217422,0.28279504,0.06558951,0.0751248,0.14642893,0.0
60,0.39732736,0.10060973,0.21926962,0.06478801,0.15132949,0.06667583,0.0
61,0.14260955,0.29049292,0.321714,0.12475114,0.05213825,0.06829412,0.0
62,0.14142263,0.1169908,0.11539558,0.10900689,0.31263962,0.20454451,0.0
63,0.04013645,0.2271091,0.14429307,0.16816403,0.26672086,0.15357646,0.0
64,0.19154422,0.04119891,0.12363371,0.24119793,0.24645115,0.15597406,0.0
65,0.15614212,0.21053037,0.10091882,0.20895086,0.0605086,0.2629492,0.0
66,0.07865942,0.26402077,0.27676013,0.2687182,0.05924395,0.0525975,0.0
67,0.12509389,0.2858282,0.06146294,0.2212858,0.10056262,0.20576653,0.0
68,0.07559163,0.12166642,0.21016613,0.07620566,0.14133722,0.37503296,0.0
69,0.05817218,0.23187001,0.16835798,0.13501531,0.1809513,0.22563319,0.0
70,0.05926668,0.15218432,0.35121623,0.17674825,0.20011576,0.0604687,0.0
71,0.24364659,0.14733414,0.2269103,0.08780028,0.1378724,0.15643632,0.0
72,0.2940298,0.1262735,0.06184342,0.07036816,0.24231744,0.20516777,0.0
73,0.05786515,0.06611881,0.23945329,0.23365039,0.12910211,0.27381024,0.0
74,0.12308744,0.10698406,0.21264769,0.06910428,0.2324041,0.2557724,0.0
75,0.16281267,0.12280574,0.2761417,0.29819942,0.07315262,0.06688795,0.0
76,0.17193303,0.19852428,0.23453286,0.06649981,0.06977877,0.2587313,0.0
77,0.23369546,0.21041144,0.12412266,0.15023595,0.16955131,0.11198308,0.0
78,0.12301555,0.16677983,0.27105802,0.07794537,0.30989626,0.05130496,0.0
79,0.08995789,0.26099145,0.18517587,0.04960347,0.28103498,0.13323638,0.0
80,0.10321376,0.21305622,0.17249067,0.10386569,0.15560664,0.251767,0.0
81,0.2921315,0.2391814,0.09084532,0.12434988,0.11099524,0.14249673,0.0
82,0.41021654,0.07364215,0.07892345,0.06858809,0.08569628,0.2829335,0.0
83,0.06208873,0.15080902,0.07458144,0.18428037,0.40489852,0.12334196,0.0
84,0.19806069,0.15926188,0.06966046,0.16518696,0.22163709,0.18619291,0.0
85,0.0581401,0.2609574,0.04847736,0.29577458,0.22018525,0.11646529,0.0
86,0.05236633,0.2413854,0.22837166,0.16955628,0.04349272,0.26482755,0.0
87,0.12875573,0.07267466,0.22805238,0.04667179,0.18740717,0.33643827,0.0
88,0.29807195,0.19484277,0.13733132,0.11206287,0.10975956,0.14793158,0.0
89,0.13867025,0.1942511,0.13631727,0.12447471,0.23717949,0.1691072,0.0
90,0.1012329,0.08542515,0.34969318,0.04773526,0.32351536,0.09239818,0.0
91,0.08539052,0.05722297,0.30265158,0.05862252,0.12773517,0.36837718,0.0
92,0.19723569,0.04712521,0.11207499,0.10747698,0.24624498,0.2898421,0.0
93,0.20824055,0.27898982,0.08226731,0.1453754,0.18874083,0.09638605,0.0
94,0.06719113,0.18870154,0.28056982,0.3140249,0.09216968,0.05734291,0.0
95,0.15614519,0.07930115,0.12397628,0.17543288,0.08344579,0.3816988,0.0
96,0.18830122,0.08032438,0.19906403,0.23671597,0.1319079,0.16368653,0.0
97,0.10587794,0.30520013,0.07817659,0.07837068,0.36421347,0.0681612,0.0
98,0.20369703,0.26678595,0.18052803,0.11954768,0.18016197,0.04927927,0.0
99,0.11128783,0.32691947,0.0787452,0.18040083,0.21040075,0.09224591,0.0
100,0.07075907,0.25640106,0.09070683,0.11715124,0.21312173,0.2518602,0.0
101,0.28859815,0.11814339,0.17765357,0.06256489,0.07395482,0.27908516,0.0
102,0.2748876,0.06223126,0.06397937,0.18619852,0.2381831,0.17452018,0.0
103,0.135956,0.0816533,0.20388919,0.10535346,0.10825975,0.36488828,0.0
104,0.06160454,0.084529,0.2917906,0.35929763,0.07257996,0.13019828,0.0
105,0.17971449,0.10187902,0.09283793,0.2818178,0.11586142,0.22788931,0.0
106,0.1146795,0.2601793,0.10514528,0.09887937,0.18548924,0.2356272,0.0
107,0.13128753,0.21220966,0.12412339,0.0757289,0.36409956,0.092551,0.0
108,0.14592211,0.1358838,0.12741612,0.23152906,0.2466825,0.11256637,0.0
109,0.30333832,0.06939538,0.05129275,0.07974327,0.24429287,0.25193742,0.0
110,0.10999963,0.21546605,0.2385019,0.20300077,0.09990235,0.13312934,0.0
111,0.2569972,0.37365118,0.10675854,0.11041379,0.0645612,0.08761819,0.0
112,0.06731555,0.13650413,0.2104917,0.12743801,0.13060018,0.32765043,0.0
113,0.2711526,0.2057247,0.15721877,0.04263088,0.0548778,0.2683953,0.0
114,0.18499409,0.24170695,0.10871397,0.1776589,0.2288847,0.05804145,0.0
115,0.16062705,0.15110937,0.11145095,0.12173095,0.3019889,0.1530927,0.0
116,0.08256397,0.27756405,0.12107477,0.33607125,0.11290313,0.06982287,0.0
117,0.3113043,0.05593704,0.07559121,0.10635029,0.09862216,0.352195,0.0
118,0.05748116,0.27320722,0.0682387,0.23252985,0.1451666,0.22337654,0.0
119,0.12619838,0.150287,0.28829536,0.05746273,0.2637645,0.11399207,0.0
120,0.12315807,0.12397737,0.3333506,0.05015569,0.14436936,0.22498891,0.0
121,0.10727974,0.1197001,0.07523257,0.225529,0.252999,0.21925956,0.0
122,0.19358578,0.06638049,0.3241263,0.08943304,0.10989333,0.21658103,0.0
123,0.08412163,0.24902526,0.09437689,0.11494735,0.3539489,0.10357998,0.0
124,0.12727593,0.23296301,0.05368905,0.17995657,0.2330183,0.17309713,0.0
125,0.18555929,0.14557415,0.08009285,0.12799162,0.31612158,0.14466055,0.0
126,0.38501075,0.09304217,0.07804626,0.30946177,0.07039835,0.06404067,0.0
127,0.09919489,0.21446055,0.0755479,0.2455531,0.2077295,0.15751404,0.0
128,0.09419918,0.24362512,0.12289864,0.0920295,0.3557649,0.09148274,0.0
129,0.09448979,0.30314496,0.096949,0.2629339,0.1439214,0.09856094,0.0
130,0.1788054,0.12335003,0.06207816,0.12960534,0.13359676,0.37256435,0.0
131,0.09343079,0.17977834,0.2653151,0.12573804,0.07050498,0.2652328,0.0
132,0.12424339,0.21823226,0.30417913,0.13927437,0.10739601,0.10667485,0.0
133,0.23435977,0.15002845,0.22173096,0.12008567,0.1674701,0.1063251,0.0
134,0.16667551,0.22282846,0.22834207,0.20481054,0.05065693,0.12668654,0.0
135,0.27128193,0.1233644,0.1079682,0.17077132,0.1004359,0.2261782,0.0
136,0.1623996,0.23705137,0.16899803,0.21874565,0.14188655,0.07091878,0.0
137,0.26071498,0.18434905,0.08478642,0.08766724,0.12347887,0.2590034,0.0
138,0.07069428,0.14674582,0.17676502,0.11747046,0.24982066,0.23850381,0.0
139,0.0721281,0.10881859,0.15945864,0.35012072,0.18993276,0.1195412,0.0
140,0.1536919,0.31656674,0.06094331,0.28991812,0.07766534,0.10121459,0.0
141,0.10871632,0.13611203,0.18050167,0.21141617,0.21222825,0.15102546,0.0
142,0.10801549,0.06660097,0.43278325,0.08208548,0.12208458,0.1884303,0.0
143,0.32850856,0.19448729,0.10522391,0.14025448,0.09438269,0.13714312,0.0
144,0.27996916,0.12263174,0.1282944,0.24325725,0.08073183,0.14511558,0.0
145,0.05645773,0.2679781,0.12729163,0.21891122,0.06149037,0.26787087,0.0
146,0.37468132,0.26838058,0.06469139,0.08294719,0.0843633,0.12493627,0.0
147,0.09787346,0.28798395,0.12527321,0.34107766,0.05953903,0.08825268,0.0
148,0.19806485,0.04836213,0.2030401,0.11597362,0.16020423,0.27435508,0.0
149,0.20821112,0.15335086,0.14604288,0.289231,0.12763374,0.0755304,0.0
150,0.12809584,0.35829768,0.12824403,0.2734534,0.05570924,0.05619973,0.0
151,0.15321638,0.40065575,0.1020996,0.10667931,0.15227254,0.08507638,0.0
152,0.11669572,0.34469825,0.25315806,0.1308306,0.08333647,0.07128077,0.0
153,0.08628708,0.08152153,0.10767334,0.23984058,0.16903326,0.3156442,0.0
154,0.14509846,0.17807063,0.1002292,0.11090205,0.26159495,0.20410466,0.0
155,0.13936432,0.06039311,0.2858102,0.15793435,0.0732972,0.28320086,0.0
156,0.18174767,0.21511099,0.13256817,0.16356073,0.24956891,0.05744355,0.0
157,0.2192193,0.14750387,0.07824694,0.20220883,0.29034385,0.06247723,0.0
158,0.06871882,0.3073489,0.1993342,0.13528574,0.13700439,0.15230808,0.0
159,0.26614442,0.20008755,0.03935796,0.07046498,0.22622669,0.19771844,0.0
160,0.30419606,0.16580355,0.08973816,0.20492858,0.13108228,0.10425131,0.0
161,0.2539122,0.1888357,0.20652173,0.162771,0.12511045,0.06284896,0.0
162,0.15910383,0.24409914,0.26797497,0.10317939,0.1818218,0.0438208,0.0
163,0.09600134,0.24784727,0.20548843,0.05588629,0.06665561,0.32812104,0.0
164,0.16349576,0.08703191,0.17976798,0.38937706,0.12271629,0.057611,0.0
165,0.27529797,0.08369654,0.15317464,0.1939954,0.13280359,0.16103183,0.0
166,0.1119972,0.19715975,0.19223307,0.10452064,0.22743912,0.16665018,0.0
167,0.08615173,0.17641944,0.25498745,0.23706944,0.11960099,0.12577094,0.0
168,0.13725099,0.24186188,0.19984855,0.0960116,0.2006086,0.12441839,0.0
169,0.14424227,0.15637466,0.18789408,0.13421488,0.30006832,0.07720579,0.0
170,0.06098913,0.26163775,0.09125809,0.3137648,0.05777367,0.21457656,0.0
171,0.12340393,0.30247578,0.21112843,0.05255265,0.19846858,0.1119707,0.0
172,0.0684282,0.26584548,0.04984771,0.28145558,0.15537122,0.1790519,0.0
173,0.12510622,0.1972321,0.11619848,0.17469297,0.18709524,0.19967496,0.0
174,0.1087001,0.11528828,0.2254842,0.09810147,0.06745101,0.38497493,0.0
175,0.21534953,0.08810318,0.08125111,0.32049245,0.11720227,0.17760147,0.0
176,0.18117368,0.08597808,0.30030277,0.18381651,0.07954233,0.16918664,0.0
177,0.11646429,0.31008545,0.18271616,0.11714585,0.13475737,0.13883084,0.0
178,0.13922195,0.19546428,0.1991637,0.16820444,0.23854542,0.05940017,0.0
179,0.15603936,0.22947893,0.08994734,0.10606764,0.10145655,0.31701022,0.0
180,0.24962378,0.38750908,0.07861034,0.06985755,0.06864912,0.14575024,0.0
181,0.11614403,0.33442524,0.18399091,0.1482342,0.1406517,0.07655396,0.0
182,0.18799351,0.14840657,0.18311672,0.12516314,0.1365064,0.2188136,0.0
183,0.24819599,0.15199856,0.35307342,0.08777093,0.08032523,0.07863577,0.0
184,0.08911619,0.21077111,0.2589022,0.0495348,0.1918253,0.19985038,0.0
185,0.18744563,0.09177983,0.21796374,0.25369793,0.08611902,0.16299398,0.0
186,0.11713973,0.2129476,0.06894974,0.212915,0.1633372,0.22471078,0.0
187,0.08153269,0.16488114,0.2579993,0.1899703,0.1428203,0.16279627,0.0
188,0.04192262,0.23250088,0.2367698,0.12059242,0.18490416,0.18331008,0.0
189,0.2347366,0.08065529,0.11136243,0.3094365,0.1261881,0.13762106,0.0
190,0.11975428,0.24331442,0.0513582,0.25606602,0.1356117,0.19389543,0.0
191,0.15637928,0.10936495,0.29259175,0.11029127,0.19364472,0.13772805,0.0
192,0.08078841,0.08445555,0.13128634,0.0809454,0.5344272,0.08809701,0.0
193,0.10259841,0.20497517,0.2826417,0.21209475,0.1130237,0.08466627,0.0
194,0.08836649,0.1121132,0.24745794,0.34947842,0.05956297,0.14302096,0.0
195,0.08739003,0.1473457,0.1180898,0.1275241,0.27551487,0.2441356,0.0
196,0.06379831,0.21236147,0.05462438,0.11033107,0.23166335,0.32722145,0.0
197,0.09303887,0.22683553,0.15025625,0.12858933,0.09900872,0.30227134,0.0
198,0.24165334,0.17009248,0.11912388,0.28184262,0.13143957,0.0558481,0.0
199,0.08339478,0.11333312,0.25924873,0.2813233,0.08967698,0.17302309,0.0
200,0.14537264,0.15345895,0.1398275,0.19192967,0.174145,0.19526619,0.0
201,0.10820776,0.36329472,0.12015994,0.21406369,0.08119263,0.11308122,0.0
202,0.148824,0.23431054,0.07364559,0.28053436,0.1388449,0.12384057,0.0
203,0.23154739,0.06153975,0.0915644,0.26125646,0.232336,0.12175605,0.0
204,0.1282855,0.14164427,0.0804552,0.46997482,0.08231837,0.09732176,0.0
205,0.16824827,0.11039589,0.4408693,0.11385804,0.07764929,0.08897922,0.0
206,0.22845171,0.13455583,0.17913154,0.17188476,0.12554358,0.16043259,0.0
207,0.09558977,0.11247387,0.19013692,0.08489358,0.36246604,0.15443975,0.0
208,0.11890274,0.08135989,0.28236824,0.08773737,0.33564594,0.09398582,0.0
209,0.15537383,0.17129536,0.34022963,0.09933043,0.08548261,0.1482882,0.0
210,0.22569577,0.07850886,0.07156485,0.2682846,0.10924418,0.24670179,0.0
211,0.22870226,0.15947227,0.1520714,0.06626797,0.20193243,0.19155361,0.0
212,0.12529516,0.22576313,0.27462897,0.2219246,0.04762987,0.10475833,0.0
213,0.36483908,0.05733736,0.06220983,0.14749399,0.07766472,0.29045495,0.0
214,0.13624541,0.25616065,0.26291826,0.11277921,0.11101606,0.12088039,0.0
215,0.07227374,0.3824143,0.10936171,0.16597721,0.1116549,0.15831819,0.0
216,0.25033343,0.05592245,0.2513899,0.10452294,0.07752614,0.26030505,0.0
217,0.29068124,0.29043183,0.08442768,0.12947723,0.06081317,0.14416878,0.0
218,0.06002695,0.24755847,0.08966486,0.28894454,0.19869502,0.1151102,0.0
219,0.08553163,0.551926,0.07859024,0.09538847,0.09753001,0.09103369,0.0
220,0.23297891,0.17667428,0.15538234,0.19485535,0.10000792,0.14010124,0.0
221,0.10183039,0.12345818,0.28301206,0.2520403,0.08187355,0.15778555,0.0
222,0.23328851,0.22954227,0.18986702,0.11069473,0.13275732,0.10385018,0.0
223,0.15195644,0.1855221,0.25852752,0.10385971,0.1906498,0.10948443,0.0
224,0.11103837,0.33600876,0.1875794,0.06448073,0.1583298,0.1425629,0.0
225,0.08387111,0.2969841,0.11635654,0.1841428,0.17693461,0.14171086,0.0
226,0.26270616,0.24276108,0.07535423,0.21049877,0.12978104,0.07889869,0.0
227,0.22917712,0.09651282,0.17414643,0.34788528,0.08669848,0.06557991,0.0
228,0.0784369,0.22230107,0.18395491,0.14518267,0.3004889,0.06963565,0.0
229,0.10967093,0.12338656,0.11302587,0.13490745,0.32713208,0.19187704,0.0
230,0.28736365,0.12996683,0.11420441,0.12121528,0.2792845,0.06796528,0.0
231,0.11560809,0.10334876,0.1503156,0.1559417,0.14891174,0.32587415,0.0
232,0.08019937,0.29048747,0.2069629,0.07904559,0.07040191,0.2729028,0.0
233,0.15830177,0.14618677,0.21200576,0.13693398,0.08511106,0.26146066,0.0
234,0.11367688,0.07505483,0.07811145,0.20134935,0.2963816,0.2354259,0.0
235,0.34009343,0.07654351,0.06268188,0.11584962,0.20203511,0.20279635,0.0
236,0.21589673,0.2668916,0.2924569,0.05250025,0.06764271,0.1046118,0.0
237,0.21634558,0.14033657,0.3920697,0.08540678,0.08748505,0.07835636,0.0
238,0.26908544,0.08639637,0.14915231,0.26950336,0.11775681,0.10810573,0.0
239,0.08974696,0.20714906,0.17909202,0.14911675,0.05621918,0.31867602,0.0
240,0.12081753,0.23728175,0.09840738,0.08999587,0.2764943,0.17700322,0.0
241,0.3369694,0.1848846,0.13112372,0.1285763,0.13637131,0.08207458,0.0
242,0.28009734,0.05900401,0.10547809,0.0848866,0.36518544,0.10534857,0.0
243,0.33734766,0.13710625,0.150622,0.0741865,0.16771193,0.13302566,0.0
244,0.11607245,0.10942355,0.27658173,0.30963385,0.08181749,0.10647098,0.0
245,0.33946568,0.09727488,0.05040543,0.13167284,0.06571475,0.3154665,0.0
246,0.10109818,0.28092736,0.18622456,0.19760558,0.15333422,0.08081012,0.0
247,0.15195042,0.10176275,0.15844592,0.20091628,0.17651367,0.21041101,0.0
248,0.10818601,0.07393865,0.12556782,0.20576581,0.15924108,0.32730064,0.0
249,0.10337367,0.2636197,0.18852435,0.09956967,0.23414196,0.11077069,0.0
250,0.07844827,0.23326237,0.24620402,0.08462091,0.26511917,0.09234521,0.0
251,0.10405131,0.08167462,0.34722954,0.16533093,0.13148789,0.1702257,0.0
252,0.15549843,0.20101288,0.21885751,0.05074418,0.15178946,0.22209752,0.0
253,0.07782774,0.09196316,0.2748274,0.21036799,0.27487496,0.07013885,0.0
254,0.2925512,0.24452046,0.04320471,0.09064171,0.26900426,0.06007769,0.0
255,0.34180346,0.06993996,0.31658491,0.07727365,0.09267094,0.1017271,0.0
256,0.4350051,0.14519347,0.09391066,0.12985614,0.11176245,0.08427212,0.0
257,0.06738835,0.25859302,0.40449432,0.13625859,0.06993808,0.06332758,0.0
258,0.27701667,0.12858377,0.20707315,0.06009,0.23263325,0.09460315,0.0
259,0.15148099,0.37451905,0.1285103,0.11913569,0.09005798,0.13629608,0.0
260,0.19640286,0.23475938,0.11699221,0.16763218,0.13596529,0.14824814,0.0
261,0.12742694,0.12007504,0.08831243,0.33941302,0.23631825,0.08845428,0.0
262,0.10312137,0.17426282,0.18775962,0.09986918,0.16780455,0.2671824,0.0
263,0.08098465,0.19465438,0.35017037,0.07037951,0.21123156,0.09257945,0.0
264,0.0727054,0.2723285,0.29750758,0.11672505,0.09823192,0.14250164,0.0
265,0.21187587,0.08128883,0.24166024,0.1122338,0.13758029,0.21536097,0.0
266,0.12421908,0.11190613,0.11904051,0.08155817,0.14837188,0.4149042,0.0
267,0.22270516,0.15840708,0.26657256,0.080098,0.11399563,0.15822166,0.0
268,0.24096155,0.13360257,0.06405136,0.24143016,0.1825837,0.13737065,0.0
269,0.14710824,0.18816954,0.09054644,0.07808396,0.06404021,0.43205166,0.0
270,0.06989098,0.08154836,0.15982753,0.25921488,0.06458656,0.3649318,0.0
271,0.23676033,0.04998284,0.05612269,0.26632738,0.15454006,0.23626666,0.0
272,0.16019876,0.19571058,0.23808314,0.08355182,0.16458778,0.15786791,0.0
273,0.18546489,0.167652,0.05727229,0.19856513,0.24216278,0.14888293,0.0
274,0.18652935,0.19169712,0.07257807,0.19779694,0.240686,0.11071248,0.0
275,0.09467921,0.1384416,0.08115956,0.2340167,0.25931472,0.19238812,0.0
276,0.06385297,0.26300588,0.2085485,0.16991907,0.19764835,0.09702526,0.0
277,0.2589434,0.15187588,0.06594485,0.09766262,0.1779143,0.24765895,0.0
278,0.09205469,0.31274506,0.10376232,0.1972319,0.09495428,0.19925168,0.0
279,0.11532877,0.2753286,0.18121949,0.0925354,0.22941902,0.10616872,0.0
280,0.17028451,0.15868615,0.14666668,0.21308057,0.13836803,0.17291404,0.0
281,0.08636689,0.20431235,0.2791883,0.15569241,0.152255,0.12218507,0.0
282,0.1142193,0.05929596,0.2661014,0.0887454,0.29539952,0.17623836,0.0
283,0.24156943,0.339815,0.06733167,0.06142178,0.13447718,0.15538499,0.0
284,0.0810628,0.10617831,0.48665598,0.09934852,0.11872271,0.1080317,0.0
285,0.06737968,0.23713975,0.11767541,0.11297966,0.25277495,0.2120506,0.0
286,0.04104603,0.25382346,0.12375958,0.22147776,0.14767464,0.21221855,0.0
287,0.07400353,0.10703696,0.07432326,0.25466064,0.1830663,0.30690932,0.0
288,0.19579911,0.13411728,0.1565913,0.29481027,0.14859234,0.07008972,0.0
289,0.31281734,0.16327189,0.06129057,0.33173558,0.06886046,0.06202418,0.0
290,0.21878244,0.07322875,0.1116422,0.22704916,0.2589509,0.11034659,0.0
291,0.15263046,0.1009625,0.24115153,0.13246533,0.25699413,0.11579608,0.0
292,0.189802,0.23243953,0.13934286,0.21089064,0.1486309,0.07889408,0.0
293,0.16491817,0.12289786,0.07945916,0.3578626,0.1305945,0.14426768,0.0
294,0.33543015,0.07392614,0.06434887,0.10894871,0.33173665,0.08560953,0.0
295,0.12981294,0.07365254,0.18601036,0.2471448,0.11024297,0.25313643,0.0
296,0.1502091,0.07249302,0.20348428,0.18377629,0.26610777,0.12392948,0.0
297,0.15431775,0.0973726,0.30526766,0.2045477,0.10445214,0.13404216,0.0
298,0.10236005,0.13228145,0.3375288,0.18561831,0.1789065,0.06330486,0.0
299,0.252192,0.11305566,0.27361116,0.09234253,0.11372984,0.15506883,0.0
300,0.07232112,0.0888119,0.32398856,0.25007,0.11100334,0.15380506,0.0
301,0.1893024,0.10856017,0.22040346,0.25024077,0.06742682,0.16406633,0.0
302,0.12419456,0.1291532,0.0696955,0.08946008,0.48902765,0.09846901,0.0
303,0.05430835,0.24623565,0.23781048,0.1034689,0.06220565,0.29597095,0.0
304,0.08216418,0.2064958,0.269556,0.05851444,0.21580303,0.16746652,0.0
305,0.21837768,0.10174576,0.21634558,0.07175245,0.3046578,0.08712076,0.0
306,0.18753755,0.11312202,0.15759267,0.14687586,0.14458893,0.2502829,0.0
307,0.1670587,0.24157687,0.12395751,0.21140726,0.07429933,0.18170023,0.0
308,0.13502564,0.24276951,0.07625323,0.05993934,0.15486732,0.33114493,0.0
309,0.14018068,0.08547705,0.14191781,0.21276392,0.25172922,0.16793133,0.0
310,0.13995211,0.06940452,0.12296029,0.08634017,0.36474115,0.21660177,0.0
311,0.2035323,0.13992478,0.16673306,0.19817661,0.16751233,0.12412091,0.0
312,0.08462996,0.08880489,0.19612059,0.32816452,0.12049992,0.18178006,0.0
313,0.261271,0.10352771,0.2339686,0.05533836,0.1709724,0.17492191,0.0
314,0.08637504,0.11227468,0.4372088,0.09653912,0.09826753,0.1693348,0.0
315,0.15827629,0.13250628,0.23082152,0.10395315,0.14921755,0.2252252,0.0
316,0.16434252,0.3235464,0.2175769,0.08386193,0.15458512,0.05608712,0.0
317,0.07843276,0.09736757,0.3572218,0.07736949,0.16771008,0.22189821,0.0
318,0.19961977,0.15223733,0.18842733,0.26196525,0.05101376,0.14673652,0.0
319,0.11146268,0.05575272,0.20011742,0.25333157,0.20769864,0.1716369,0.0
320,0.19900449,0.17935084,0.18797217,0.0907912,0.12703778,0.2158435,0.0
321,0.25462732,0.2633921,0.23613033,0.10625997,0.07061777,0.06897256,0.0
322,0.0908038,0.14455506,0.15012042,0.1185021,0.18918034,0.30683827,0.0
323,0.1867424,0.19845591,0.24815717,0.10423364,0.12015624,0.14225467,0.0
324,0.06288361,0.2723233,0.12550028,0.15262571,0.1584375,0.22822964,0.0
325,0.1119637,0.23823169,0.05398235,0.2726251,0.13282846,0.19036868,0.0
326,0.10086311,0.12898634,0.32594466,0.13998382,0.16273108,0.14149092,0.0
327,0.04794533,0.25463295,0.07083133,0.18367071,0.2822235,0.16069618,0.0
328,0.2543738,0.20240876,0.05233707,0.06185829,0.2908015,0.13822064,0.0
329,0.17814155,0.0534188,0.1895046,0.05061888,0.26079458,0.26752162,0.0
330,0.14374556,0.34333804,0.08639432,0.05550691,0.05795063,0.31306455,0.0
331,0.2946007,0.25892624,0.13361935,0.10516255,0.10591664,0.10177448,0.0
332,0.11776306,0.16376686,0.0945128,0.21710621,0.2517955,0.1550556,0.0
333,0.3807872,0.15961546,0.10472684,0.09763121,0.12355013,0.13368908,0.0
