idx,rep,seed,run_timestamp,exit_code,miss_ratio,byte_miss_ratio,throughput_mqps,trace_file,cache_ratio,config
1,1,20101,next_1063_localgrid_req1_3m_20260129_184633_001_r01,0,0.372804,0.329145,0.00,"data/TencentCBS/1063.oracleGeneral.zst",0.1,"LOH_PARALLEL_SAFE=1 LOH_RL_ALGO=SAC LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_ACTION_SCALE=0.5 RL_UPDATE_INTERVAL=100 LOH_SOFTMAX_TEMP=1.0 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0 LOH_SOFT_PRIOR=0 LOH_SCORE_USE_IRT=0 LOH_SCORE_USE_COMPOUND=0"
2,1,20201,next_1063_localgrid_req1_3m_20260129_184633_002_r01,0,0.373069,0.329463,0.00,"data/TencentCBS/1063.oracleGeneral.zst",0.1,"LOH_PARALLEL_SAFE=1 LOH_RL_ALGO=SAC LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_ACTION_SCALE=0.5 RL_UPDATE_INTERVAL=100 LOH_SOFTMAX_TEMP=1.3 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0 LOH_SOFT_PRIOR=0 LOH_SCORE_USE_IRT=0 LOH_SCORE_USE_COMPOUND=0"
3,1,20301,next_1063_localgrid_req1_3m_20260129_184633_003_r01,0,0.373036,0.329628,0.01,"data/TencentCBS/1063.oracleGeneral.zst",0.1,"LOH_PARALLEL_SAFE=1 LOH_RL_ALGO=SAC LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_ACTION_SCALE=0.5 RL_UPDATE_INTERVAL=100 LOH_SOFTMAX_TEMP=1.6 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0 LOH_SOFT_PRIOR=0 LOH_SCORE_USE_IRT=0 LOH_SCORE_USE_COMPOUND=0"
4,1,20401,next_1063_localgrid_req1_3m_20260129_184633_004_r01,0,0.372689,0.328981,0.01,"data/TencentCBS/1063.oracleGeneral.zst",0.1,"LOH_PARALLEL_SAFE=1 LOH_RL_ALGO=SAC LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_ACTION_SCALE=0.5 RL_UPDATE_INTERVAL=200 LOH_SOFTMAX_TEMP=1.0 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0 LOH_SOFT_PRIOR=0 LOH_SCORE_USE_IRT=0 LOH_SCORE_USE_COMPOUND=0"
5,1,20501,next_1063_localgrid_req1_3m_20260129_184633_005_r01,0,0.372427,0.329315,0.01,"data/TencentCBS/1063.oracleGeneral.zst",0.1,"LOH_PARALLEL_SAFE=1 LOH_RL_ALGO=SAC LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_ACTION_SCALE=0.5 RL_UPDATE_INTERVAL=200 LOH_SOFTMAX_TEMP=1.3 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0 LOH_SOFT_PRIOR=0 LOH_SCORE_USE_IRT=0 LOH_SCORE_USE_COMPOUND=0"
6,1,20601,next_1063_localgrid_req1_3m_20260129_184633_006_r01,0,0.372971,0.328957,0.01,"data/TencentCBS/1063.oracleGeneral.zst",0.1,"LOH_PARALLEL_SAFE=1 LOH_RL_ALGO=SAC LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_ACTION_SCALE=0.5 RL_UPDATE_INTERVAL=200 LOH_SOFTMAX_TEMP=1.6 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0 LOH_SOFT_PRIOR=0 LOH_SCORE_USE_IRT=0 LOH_SCORE_USE_COMPOUND=0"
7,1,20701,next_1063_localgrid_req1_3m_20260129_184633_007_r01,0,0.373608,0.329493,0.02,"data/TencentCBS/1063.oracleGeneral.zst",0.1,"LOH_PARALLEL_SAFE=1 LOH_RL_ALGO=SAC LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_ACTION_SCALE=0.5 RL_UPDATE_INTERVAL=400 LOH_SOFTMAX_TEMP=1.0 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0 LOH_SOFT_PRIOR=0 LOH_SCORE_USE_IRT=0 LOH_SCORE_USE_COMPOUND=0"
8,1,20801,next_1063_localgrid_req1_3m_20260129_184633_008_r01,0,0.372155,0.329170,0.01,"data/TencentCBS/1063.oracleGeneral.zst",0.1,"LOH_PARALLEL_SAFE=1 LOH_RL_ALGO=SAC LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_ACTION_SCALE=0.5 RL_UPDATE_INTERVAL=400 LOH_SOFTMAX_TEMP=1.3 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0 LOH_SOFT_PRIOR=0 LOH_SCORE_USE_IRT=0 LOH_SCORE_USE_COMPOUND=0"
9,1,20901,next_1063_localgrid_req1_3m_20260129_184633_009_r01,0,0.372614,0.328886,0.02,"data/TencentCBS/1063.oracleGeneral.zst",0.1,"LOH_PARALLEL_SAFE=1 LOH_RL_ALGO=SAC LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_ACTION_SCALE=0.5 RL_UPDATE_INTERVAL=400 LOH_SOFTMAX_TEMP=1.6 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0 LOH_SOFT_PRIOR=0 LOH_SCORE_USE_IRT=0 LOH_SCORE_USE_COMPOUND=0"
10,1,21001,next_1063_localgrid_req1_3m_20260129_184633_010_r01,0,0.370464,0.351355,0.00,"data/TencentCBS/1063.oracleGeneral.zst",0.1,"LOH_PARALLEL_SAFE=1 LOH_RL_ALGO=SAC LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=0 LOH_ACTION_SCALE=1.0 RL_UPDATE_INTERVAL=50 LOH_WEIGHT_EMA=0.0 LOH_WEIGHT_CLIP=0.0 LOH_SOFT_PRIOR=0 LOH_SCORE_MODEL=linear LOH_SCORE_USE_IRT=0 LOH_SCORE_USE_COMPOUND=0"
