param,value,best_miss_ratio,run_timestamp,config
LOH_PENALTY_EMPTY_AS_GOOD,,0.350489,1063_to032_20260213_2325__stage3_071_r01,LOH_PARALLEL_SAFE=1 LOH_SKIP_PIP_INSTALL=1 LOH_SKIP_BUILD=1 CACHESIM_VERBOSE=0 CACHESIM_NUM_REQ=3000000 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0 LOH_INCLUDE_HIT_MISS_FEATURES=1 LOH_INCLUDE_CACHE_FEATURES=1 LOH_INCLUDE_CANDIDATE_FEATURES=0 LOH_INCLUDE_TOPK_CANDIDATE_FEATURES=0 LOH_INCLUDE_AVGTOPK_CANDIDATE_FEATURES=0 LOH_INCLUDE_REQUEST=1 RL_STATE_USE_MISSRATIO=1 LOH_ENABLE_PENALTY=1 LOH_REWARD_USE_PENALTY=0 LOH_RL_ALGO=PPO RL_UPDATE_INTERVAL=50 LOH_ACTION_SCALE=1.2
LOH_PENALTY_EMPTY_AS_GOOD,1,0.346954,1063_to032_20260213_2325__stage3_108_r01,LOH_PARALLEL_SAFE=1 LOH_SKIP_PIP_INSTALL=1 LOH_SKIP_BUILD=1 CACHESIM_VERBOSE=0 CACHESIM_NUM_REQ=3000000 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0 LOH_INCLUDE_HIT_MISS_FEATURES=1 LOH_INCLUDE_CACHE_FEATURES=1 LOH_INCLUDE_CANDIDATE_FEATURES=0 LOH_INCLUDE_TOPK_CANDIDATE_FEATURES=0 LOH_INCLUDE_AVGTOPK_CANDIDATE_FEATURES=0 LOH_INCLUDE_REQUEST=1 RL_STATE_USE_MISSRATIO=1 LOH_ENABLE_PENALTY=1 LOH_REWARD_USE_PENALTY=1 LOH_RL_ALGO=A2C RL_UPDATE_INTERVAL=100 LOH_ACTION_SCALE=0.8 LOH_PENALTY_SCALE=log LOH_PENALTY_REWARD_FORMULA=neg LOH_REWARD_W_PENALTY=0.1 LOH_PENALTY_CUTOFF=0 LOH_PENALTY_DMAX=400000 LOH_PENALTY_EMPTY_AS_GOOD=1 LOH_PENALTY_REFINE_ON_LATE=1 LOH_PENALTY_NO_EVICT_REWARD=keep LOH_PENALTY_BASELINE_DECAY=0.99 LOH_SURVIVAL_BINS=64 LOH_SURVIVAL_QUANTILE=0.99 LOH_SURVIVAL_MINCOUNT=1000 LOH_PENALTY_NET_GOOD_SCALE=1.0 LOH_PENALTY_NET_PENALTY_SCALE=1.0
LOH_PENALTY_NET_GOOD_SCALE,,0.350489,1063_to032_20260213_2325__stage3_071_r01,LOH_PARALLEL_SAFE=1 LOH_SKIP_PIP_INSTALL=1 LOH_SKIP_BUILD=1 CACHESIM_VERBOSE=0 CACHESIM_NUM_REQ=3000000 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0 LOH_INCLUDE_HIT_MISS_FEATURES=1 LOH_INCLUDE_CACHE_FEATURES=1 LOH_INCLUDE_CANDIDATE_FEATURES=0 LOH_INCLUDE_TOPK_CANDIDATE_FEATURES=0 LOH_INCLUDE_AVGTOPK_CANDIDATE_FEATURES=0 LOH_INCLUDE_REQUEST=1 RL_STATE_USE_MISSRATIO=1 LOH_ENABLE_PENALTY=1 LOH_REWARD_USE_PENALTY=0 LOH_RL_ALGO=PPO RL_UPDATE_INTERVAL=50 LOH_ACTION_SCALE=1.2
LOH_PENALTY_NET_GOOD_SCALE,1.0,0.346954,1063_to032_20260213_2325__stage3_108_r01,LOH_PARALLEL_SAFE=1 LOH_SKIP_PIP_INSTALL=1 LOH_SKIP_BUILD=1 CACHESIM_VERBOSE=0 CACHESIM_NUM_REQ=3000000 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0 LOH_INCLUDE_HIT_MISS_FEATURES=1 LOH_INCLUDE_CACHE_FEATURES=1 LOH_INCLUDE_CANDIDATE_FEATURES=0 LOH_INCLUDE_TOPK_CANDIDATE_FEATURES=0 LOH_INCLUDE_AVGTOPK_CANDIDATE_FEATURES=0 LOH_INCLUDE_REQUEST=1 RL_STATE_USE_MISSRATIO=1 LOH_ENABLE_PENALTY=1 LOH_REWARD_USE_PENALTY=1 LOH_RL_ALGO=A2C RL_UPDATE_INTERVAL=100 LOH_ACTION_SCALE=0.8 LOH_PENALTY_SCALE=log LOH_PENALTY_REWARD_FORMULA=neg LOH_REWARD_W_PENALTY=0.1 LOH_PENALTY_CUTOFF=0 LOH_PENALTY_DMAX=400000 LOH_PENALTY_EMPTY_AS_GOOD=1 LOH_PENALTY_REFINE_ON_LATE=1 LOH_PENALTY_NO_EVICT_REWARD=keep LOH_PENALTY_BASELINE_DECAY=0.99 LOH_SURVIVAL_BINS=64 LOH_SURVIVAL_QUANTILE=0.99 LOH_SURVIVAL_MINCOUNT=1000 LOH_PENALTY_NET_GOOD_SCALE=1.0 LOH_PENALTY_NET_PENALTY_SCALE=1.0
LOH_PENALTY_NET_PENALTY_SCALE,,0.350489,1063_to032_20260213_2325__stage3_071_r01,LOH_PARALLEL_SAFE=1 LOH_SKIP_PIP_INSTALL=1 LOH_SKIP_BUILD=1 CACHESIM_VERBOSE=0 CACHESIM_NUM_REQ=3000000 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0 LOH_INCLUDE_HIT_MISS_FEATURES=1 LOH_INCLUDE_CACHE_FEATURES=1 LOH_INCLUDE_CANDIDATE_FEATURES=0 LOH_INCLUDE_TOPK_CANDIDATE_FEATURES=0 LOH_INCLUDE_AVGTOPK_CANDIDATE_FEATURES=0 LOH_INCLUDE_REQUEST=1 RL_STATE_USE_MISSRATIO=1 LOH_ENABLE_PENALTY=1 LOH_REWARD_USE_PENALTY=0 LOH_RL_ALGO=PPO RL_UPDATE_INTERVAL=50 LOH_ACTION_SCALE=1.2
LOH_PENALTY_NET_PENALTY_SCALE,1.0,0.346954,1063_to032_20260213_2325__stage3_108_r01,LOH_PARALLEL_SAFE=1 LOH_SKIP_PIP_INSTALL=1 LOH_SKIP_BUILD=1 CACHESIM_VERBOSE=0 CACHESIM_NUM_REQ=3000000 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0 LOH_INCLUDE_HIT_MISS_FEATURES=1 LOH_INCLUDE_CACHE_FEATURES=1 LOH_INCLUDE_CANDIDATE_FEATURES=0 LOH_INCLUDE_TOPK_CANDIDATE_FEATURES=0 LOH_INCLUDE_AVGTOPK_CANDIDATE_FEATURES=0 LOH_INCLUDE_REQUEST=1 RL_STATE_USE_MISSRATIO=1 LOH_ENABLE_PENALTY=1 LOH_REWARD_USE_PENALTY=1 LOH_RL_ALGO=A2C RL_UPDATE_INTERVAL=100 LOH_ACTION_SCALE=0.8 LOH_PENALTY_SCALE=log LOH_PENALTY_REWARD_FORMULA=neg LOH_REWARD_W_PENALTY=0.1 LOH_PENALTY_CUTOFF=0 LOH_PENALTY_DMAX=400000 LOH_PENALTY_EMPTY_AS_GOOD=1 LOH_PENALTY_REFINE_ON_LATE=1 LOH_PENALTY_NO_EVICT_REWARD=keep LOH_PENALTY_BASELINE_DECAY=0.99 LOH_SURVIVAL_BINS=64 LOH_SURVIVAL_QUANTILE=0.99 LOH_SURVIVAL_MINCOUNT=1000 LOH_PENALTY_NET_GOOD_SCALE=1.0 LOH_PENALTY_NET_PENALTY_SCALE=1.0
LOH_PENALTY_NO_EVICT_REWARD,,0.350489,1063_to032_20260213_2325__stage3_071_r01,LOH_PARALLEL_SAFE=1 LOH_SKIP_PIP_INSTALL=1 LOH_SKIP_BUILD=1 CACHESIM_VERBOSE=0 CACHESIM_NUM_REQ=3000000 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0 LOH_INCLUDE_HIT_MISS_FEATURES=1 LOH_INCLUDE_CACHE_FEATURES=1 LOH_INCLUDE_CANDIDATE_FEATURES=0 LOH_INCLUDE_TOPK_CANDIDATE_FEATURES=0 LOH_INCLUDE_AVGTOPK_CANDIDATE_FEATURES=0 LOH_INCLUDE_REQUEST=1 RL_STATE_USE_MISSRATIO=1 LOH_ENABLE_PENALTY=1 LOH_REWARD_USE_PENALTY=0 LOH_RL_ALGO=PPO RL_UPDATE_INTERVAL=50 LOH_ACTION_SCALE=1.2
LOH_PENALTY_NO_EVICT_REWARD,keep,0.346954,1063_to032_20260213_2325__stage3_108_r01,LOH_PARALLEL_SAFE=1 LOH_SKIP_PIP_INSTALL=1 LOH_SKIP_BUILD=1 CACHESIM_VERBOSE=0 CACHESIM_NUM_REQ=3000000 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0 LOH_INCLUDE_HIT_MISS_FEATURES=1 LOH_INCLUDE_CACHE_FEATURES=1 LOH_INCLUDE_CANDIDATE_FEATURES=0 LOH_INCLUDE_TOPK_CANDIDATE_FEATURES=0 LOH_INCLUDE_AVGTOPK_CANDIDATE_FEATURES=0 LOH_INCLUDE_REQUEST=1 RL_STATE_USE_MISSRATIO=1 LOH_ENABLE_PENALTY=1 LOH_REWARD_USE_PENALTY=1 LOH_RL_ALGO=A2C RL_UPDATE_INTERVAL=100 LOH_ACTION_SCALE=0.8 LOH_PENALTY_SCALE=log LOH_PENALTY_REWARD_FORMULA=neg LOH_REWARD_W_PENALTY=0.1 LOH_PENALTY_CUTOFF=0 LOH_PENALTY_DMAX=400000 LOH_PENALTY_EMPTY_AS_GOOD=1 LOH_PENALTY_REFINE_ON_LATE=1 LOH_PENALTY_NO_EVICT_REWARD=keep LOH_PENALTY_BASELINE_DECAY=0.99 LOH_SURVIVAL_BINS=64 LOH_SURVIVAL_QUANTILE=0.99 LOH_SURVIVAL_MINCOUNT=1000 LOH_PENALTY_NET_GOOD_SCALE=1.0 LOH_PENALTY_NET_PENALTY_SCALE=1.0
LOH_PENALTY_REFINE_ON_LATE,,0.350489,1063_to032_20260213_2325__stage3_071_r01,LOH_PARALLEL_SAFE=1 LOH_SKIP_PIP_INSTALL=1 LOH_SKIP_BUILD=1 CACHESIM_VERBOSE=0 CACHESIM_NUM_REQ=3000000 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0 LOH_INCLUDE_HIT_MISS_FEATURES=1 LOH_INCLUDE_CACHE_FEATURES=1 LOH_INCLUDE_CANDIDATE_FEATURES=0 LOH_INCLUDE_TOPK_CANDIDATE_FEATURES=0 LOH_INCLUDE_AVGTOPK_CANDIDATE_FEATURES=0 LOH_INCLUDE_REQUEST=1 RL_STATE_USE_MISSRATIO=1 LOH_ENABLE_PENALTY=1 LOH_REWARD_USE_PENALTY=0 LOH_RL_ALGO=PPO RL_UPDATE_INTERVAL=50 LOH_ACTION_SCALE=1.2
LOH_PENALTY_REFINE_ON_LATE,1,0.346954,1063_to032_20260213_2325__stage3_108_r01,LOH_PARALLEL_SAFE=1 LOH_SKIP_PIP_INSTALL=1 LOH_SKIP_BUILD=1 CACHESIM_VERBOSE=0 CACHESIM_NUM_REQ=3000000 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0 LOH_INCLUDE_HIT_MISS_FEATURES=1 LOH_INCLUDE_CACHE_FEATURES=1 LOH_INCLUDE_CANDIDATE_FEATURES=0 LOH_INCLUDE_TOPK_CANDIDATE_FEATURES=0 LOH_INCLUDE_AVGTOPK_CANDIDATE_FEATURES=0 LOH_INCLUDE_REQUEST=1 RL_STATE_USE_MISSRATIO=1 LOH_ENABLE_PENALTY=1 LOH_REWARD_USE_PENALTY=1 LOH_RL_ALGO=A2C RL_UPDATE_INTERVAL=100 LOH_ACTION_SCALE=0.8 LOH_PENALTY_SCALE=log LOH_PENALTY_REWARD_FORMULA=neg LOH_REWARD_W_PENALTY=0.1 LOH_PENALTY_CUTOFF=0 LOH_PENALTY_DMAX=400000 LOH_PENALTY_EMPTY_AS_GOOD=1 LOH_PENALTY_REFINE_ON_LATE=1 LOH_PENALTY_NO_EVICT_REWARD=keep LOH_PENALTY_BASELINE_DECAY=0.99 LOH_SURVIVAL_BINS=64 LOH_SURVIVAL_QUANTILE=0.99 LOH_SURVIVAL_MINCOUNT=1000 LOH_PENALTY_NET_GOOD_SCALE=1.0 LOH_PENALTY_NET_PENALTY_SCALE=1.0
LOH_PENALTY_REWARD_FORMULA,,0.350489,1063_to032_20260213_2325__stage3_071_r01,LOH_PARALLEL_SAFE=1 LOH_SKIP_PIP_INSTALL=1 LOH_SKIP_BUILD=1 CACHESIM_VERBOSE=0 CACHESIM_NUM_REQ=3000000 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0 LOH_INCLUDE_HIT_MISS_FEATURES=1 LOH_INCLUDE_CACHE_FEATURES=1 LOH_INCLUDE_CANDIDATE_FEATURES=0 LOH_INCLUDE_TOPK_CANDIDATE_FEATURES=0 LOH_INCLUDE_AVGTOPK_CANDIDATE_FEATURES=0 LOH_INCLUDE_REQUEST=1 RL_STATE_USE_MISSRATIO=1 LOH_ENABLE_PENALTY=1 LOH_REWARD_USE_PENALTY=0 LOH_RL_ALGO=PPO RL_UPDATE_INTERVAL=50 LOH_ACTION_SCALE=1.2
