step,w0,w1,w2,w3,w4,w5,w6
1,0.31756464,0.08014348,0.05738681,0.2805082,0.15542652,0.10897029,0.0
2,0.12940624,0.13814518,0.34520128,0.09337855,0.10768296,0.18618569,0.0
3,0.07910468,0.22022222,0.06912421,0.24573588,0.2241049,0.16170816,0.0
4,0.06176166,0.07721675,0.3139011,0.10774333,0.31502113,0.12435604,0.0
5,0.34056893,0.07009685,0.10565439,0.13712125,0.07517514,0.27138335,0.0
6,0.09190609,0.2836255,0.30314016,0.08426708,0.14187974,0.09518135,0.0
7,0.09002282,0.14457533,0.11263374,0.33011666,0.2054609,0.1171905,0.0
8,0.04331601,0.17547528,0.2867876,0.07273666,0.13623396,0.28545043,0.0
9,0.07679446,0.23984265,0.13125367,0.06909755,0.06216902,0.42084268,0.0
10,0.14713714,0.15388454,0.22722416,0.2075324,0.08111295,0.18310884,0.0
11,0.21969865,0.07498912,0.13188894,0.22112332,0.14534862,0.20695128,0.0
12,0.11868076,0.19967158,0.18526132,0.08895235,0.14195172,0.26548222,0.0
13,0.17897366,0.09517999,0.08844572,0.16579019,0.2521987,0.21941176,0.0
14,0.06553918,0.24458413,0.18762577,0.16581757,0.25698718,0.07944615,0.0
15,0.04993827,0.08068142,0.21563998,0.21793097,0.14454621,0.29126313,0.0
16,0.31457725,0.0859993,0.23413414,0.04623603,0.14063187,0.17842144,0.0
17,0.15569848,0.14865904,0.16174135,0.04273141,0.1891338,0.30203596,0.0
18,0.25073966,0.21036585,0.1864031,0.16218953,0.07360017,0.11670163,0.0
19,0.11928322,0.07678886,0.04516085,0.32275274,0.32324836,0.11276594,0.0
20,0.30064666,0.10303967,0.1312561,0.04714769,0.15984346,0.25806636,0.0
21,0.07001033,0.35571873,0.33193633,0.08756103,0.09078581,0.06398785,0.0
22,0.17778553,0.08119056,0.10738957,0.12852427,0.1544643,0.35064575,0.0
23,0.14045122,0.08229291,0.24667786,0.32921442,0.09783757,0.10352602,0.0
24,0.2064149,0.06370912,0.08572644,0.30794355,0.1351727,0.20103325,0.0
25,0.17231856,0.1646053,0.23381618,0.05899871,0.22271973,0.14754148,0.0
26,0.08793563,0.06995572,0.32248256,0.25114757,0.20634878,0.06212966,0.0
27,0.1008151,0.1043778,0.08702148,0.30090567,0.28042006,0.12645991,0.0
28,0.06567308,0.36505473,0.2388321,0.06159488,0.11056881,0.15827642,0.0
29,0.10781927,0.31922764,0.11309876,0.18041873,0.11528953,0.16414604,0.0
30,0.12488811,0.10226475,0.16511597,0.22535732,0.2614532,0.12092059,0.0
31,0.33221102,0.07533674,0.3216634,0.08836838,0.10588298,0.07653747,0.0
32,0.24531315,0.06052493,0.17176023,0.11056146,0.257992,0.15384819,0.0
33,0.3344445,0.06566978,0.0568193,0.13583928,0.22085088,0.18637621,0.0
34,0.07517283,0.19376452,0.12762432,0.05938656,0.22618519,0.31786656,0.0
35,0.17770386,0.09821203,0.12025166,0.16182433,0.17889108,0.26311705,0.0
36,0.37037596,0.1295386,0.06626759,0.2233013,0.10431551,0.10620098,0.0
37,0.06397302,0.32913575,0.13091767,0.05650603,0.2591948,0.16027279,0.0
38,0.11652184,0.1839679,0.22217666,0.22672261,0.14634302,0.10426793,0.0
39,0.22409073,0.4150388,0.13259369,0.06071111,0.09400338,0.07356218,0.0
40,0.08822519,0.22615877,0.07121828,0.34064248,0.19693217,0.07682315,0.0
41,0.08934915,0.07865456,0.22846965,0.28600094,0.11807765,0.199448,0.0
42,0.22297506,0.11107518,0.22028607,0.16676424,0.08152198,0.19737747,0.0
43,0.11606312,0.19118233,0.2097059,0.09509055,0.18738651,0.20057157,0.0
44,0.16098255,0.08663256,0.22678399,0.21682884,0.23791079,0.07086129,0.0
45,0.07773979,0.1022106,0.1767763,0.06748608,0.23327872,0.34250852,0.0
46,0.13966967,0.04593725,0.17423931,0.26261473,0.25490034,0.12263873,0.0
47,0.06162302,0.17247076,0.06498878,0.34251603,0.19500905,0.1633923,0.0
48,0.19951668,0.14950442,0.09631596,0.2247463,0.13144651,0.19847018,0.0
49,0.1165193,0.14588791,0.14063469,0.11646612,0.11754559,0.36294642,0.0
50,0.21588585,0.17969003,0.21156956,0.19977556,0.13149008,0.06158886,0.0
51,0.20913489,0.09619077,0.27213123,0.12623452,0.2315973,0.06471127,0.0
52,0.18766612,0.2416716,0.15504442,0.2398252,0.05518058,0.12061208,0.0
53,0.21083277,0.25548968,0.10363511,0.12449197,0.24048845,0.06506201,0.0
54,0.198358,0.09388743,0.1118429,0.26045856,0.16107535,0.17437774,0.0
55,0.19096556,0.16592857,0.15116969,0.08288234,0.13231085,0.276743,0.0
56,0.06256289,0.13251254,0.34410375,0.08813433,0.24381512,0.12887138,0.0
57,0.17491993,0.27032915,0.16765328,0.11043078,0.09715655,0.17951019,0.0
58,0.10987565,0.3379268,0.14178771,0.20489669,0.09457915,0.11093404,0.0
59,0.08811299,0.32603478,0.3167301,0.05839016,0.11641371,0.09431825,0.0
60,0.28506663,0.06595345,0.22944747,0.05451046,0.1127846,0.25223744,0.0
61,0.23250832,0.09124245,0.07183409,0.27802268,0.10596859,0.22042382,0.0
62,0.3877629,0.15022925,0.09503504,0.11115181,0.17033881,0.08548219,0.0
63,0.26285815,0.04498525,0.19761008,0.05919352,0.25384316,0.18150981,0.0
64,0.21595952,0.24143253,0.14496742,0.15389948,0.07633999,0.167401,0.0
65,0.08240891,0.11791687,0.17638677,0.09471471,0.338714,0.18985869,0.0
66,0.12959579,0.09024816,0.23052752,0.15813245,0.31029624,0.08119985,0.0
67,0.17241599,0.09393295,0.09951813,0.05848296,0.27251154,0.30313846,0.0
68,0.07781298,0.3211303,0.22058392,0.12528904,0.11145245,0.14373133,0.0
69,0.12499478,0.2971302,0.13308625,0.26421192,0.11129392,0.06928294,0.0
70,0.06160153,0.24955441,0.07569323,0.07202432,0.19652744,0.34459907,0.0
71,0.10005563,0.34361815,0.14336215,0.10262435,0.18699524,0.12334441,0.0
72,0.08462159,0.08940478,0.13019994,0.37611347,0.15346786,0.16619231,0.0
73,0.2421302,0.05349838,0.11165515,0.27796367,0.09494364,0.21980897,0.0
74,0.2751167,0.07399646,0.06104227,0.30873302,0.142867,0.1382445,0.0
75,0.0709568,0.1963683,0.11097296,0.33891463,0.11594131,0.16684598,0.0
76,0.21817137,0.13264433,0.15235673,0.30942193,0.05253397,0.13487168,0.0
77,0.04404977,0.29384246,0.1555369,0.07793198,0.13997915,0.28865978,0.0
78,0.32258105,0.20262264,0.2241797,0.05931019,0.05723976,0.1340666,0.0
79,0.3227375,0.11236753,0.3135584,0.11041078,0.05256508,0.08836079,0.0
80,0.07224698,0.2113981,0.15156914,0.12715678,0.12889919,0.30872983,0.0
81,0.24096131,0.2535582,0.1788005,0.09602168,0.07473672,0.15592158,0.0
82,0.14015849,0.14281456,0.22840072,0.25185332,0.10368588,0.13308711,0.0
83,0.25700927,0.2755154,0.08618558,0.15009408,0.14941019,0.08178543,0.0
